"year","ASL","X1","X2","Regione","Macro_Area"
"2019","AZIENDA ULSS N 1 DOLOMITI",-1.41924873485334,-4.37427986521288,"Veneto","North-East"
"2019","AZIENDA ULSS N 2 MARCA TREVIGIANA",-1.58627489027144,-5.00200796067228,"Veneto","North-East"
"2019","AZIENDA ULSS N 3 SERENISSIMA",-3.05031624052888,-4.98845467688966,"Veneto","North-East"
"2019","AZIENDA ULSS N 4 VENETO ORIENTALE",-0.36221234120592,-5.32278541517814,"Veneto","North-East"
"2019","AZIENDA ULSS N 5 POLESANA",-2.60810980400793,-2.524527408519,"Veneto","North-East"
"2019","AZIENDA ULSS N 6 EUGANEA",-1.83733583765085,-3.42260602119083,"Veneto","North-East"
"2019","AZIENDA ULSS N 7 PEDEMONTANA",-1.5304511055441,-2.74399449931216,"Veneto","North-East"
"2019","AZIENDA ULSS N 8 BERICA",-1.43193088131,-2.72224348565318,"Veneto","North-East"
"2019","AZIENDA ULSS N 9 SCALIGERA",-0.23940710962382,-2.65109045299375,"Veneto","North-East"
"2019","AZIENDA USL BOLOGNA",-2.41762117197995,-0.73701867765719,"Emilia-Romagna","North-East"
"2019","AZIENDA USL DELLA ROMAGNA",-2.37940279484618,-0.664964798789151,"Emilia-Romagna","North-East"
"2019","AZIENDA USL FERRARA",-2.90620616724138,-1.8654548391791,"Emilia-Romagna","North-East"
"2019","AZIENDA USL IMOLA",-2.53294988202535,-0.41632234906671,"Emilia-Romagna","North-East"
"2019","AZIENDA USL MODENA",-0.540756653061884,-1.76679031913049,"Emilia-Romagna","North-East"
"2019","AZIENDA USL PARMA",0.20814523631426,-1.45931174034367,"Emilia-Romagna","North-East"
"2019","AZIENDA USL PIACENZA",1.49525499018458,-1.87975683653134,"Emilia-Romagna","North-East"
"2019","AZIENDA USL REGGIO EMILIA",-0.35332326534932,-1.86651508328972,"Emilia-Romagna","North-East"
"2019","AZIENDA USL TOSCANA CENTRO",-1.78057190754577,0.478161386825657,"Toscana","Centre"
"2019","AZIENDA USL TOSCANA NORD OVEST",-1.17876224368992,0.597204839301935,"Toscana","Centre"
"2019","AZIENDA USL TOSCANA SUD EST",-3.24230603491228,0.299596799353398,"Toscana","Centre"
"2019","AZIENDA USL VALLE D'AOSTA",5.02412319688936,-0.706591779256476,"Valle d'Aosta","North-West"
"2019","BI",3.47959059790985,-1.90265058734598,"Piemonte","North-West"
"2019","CHIAVARESE",1.33765674120951,0.758891668616758,"Liguria","North-West"
"2019","CN1",5.01265962307884,1.14462523059897,"Piemonte","North-West"
"2019","CN2",5.7115149066219,1.03704114595433,"Piemonte","North-West"
"2019","FROSINONE",-1.52695674343602,2.77554619038378,"Lazio","Centre"
"2019","GENOVESE",1.65458183654983,0.692131315182937,"Liguria","North-West"
"2019","IMPERIESE",1.7859102694517,1.29355674560702,"Liguria","North-West"
"2019","LANCIANO VASTO CHIETI",-1.18730331707747,1.17251902861526,"Abruzzo","South"
"2019","LATINA",-2.11056955189587,3.81669012325443,"Lazio","Centre"
"2019","NO",2.02708980932083,-2.54396481883103,"Piemonte","North-West"
"2019","PESCARA",-1.53879222272068,0.891853928778946,"Abruzzo","South"
"2019","RIETI",-2.39670941262329,1.03808739564531,"Lazio","Centre"
"2019","ROMA 1",-3.46806644256354,2.83478816294885,"Lazio","Centre"
"2019","ROMA 2",-3.00891488559645,3.78717360129547,"Lazio","Centre"
"2019","ROMA 3",-3.80868533004247,3.23550360347101,"Lazio","Centre"
"2019","ROMA 4",-4.71752871246748,1.77167541009388,"Lazio","Centre"
"2019","ROMA 5",-2.47570208457632,2.32171321689612,"Lazio","Centre"
"2019","ROMA 6",-2.75133439765564,3.56979908040147,"Lazio","Centre"
"2019","SAVONESE",1.78221605956874,0.700487182368645,"Liguria","North-West"
"2019","SPEZZINO",0.387577625414178,1.0749894967556,"Liguria","North-West"
"2019","TERAMO",-1.98650236445263,1.13111192003799,"Abruzzo","South"
"2019","TO3",4.55170169616305,0.365726401622354,"Piemonte","North-West"
"2019","TO4",5.25439396232439,-0.187068776837207,"Piemonte","North-West"
"2019","TO5",4.98907616876395,0.641897850021381,"Piemonte","North-West"
"2019","TRENTO",-0.466241340755207,-3.03111324238887,"Trentino-Alto Adige","North-East"
"2019","VC",2.51432519700781,-1.69667011904528,"Piemonte","North-West"
"2019","VCO",2.70477003842836,-2.92001896529177,"Piemonte","North-West"
"2019","VITERBO",-4.30720751745226,0.650311089064388,"Lazio","Centre"
"2020","AL",2.36456634212238,1.09733765298982,"Piemonte","North-West"
"2020","AS FRIULI OCCIDENTALE",-0.486526419781579,-6.06562293548628,"Friuli-Venezia Giulia","North-East"
"2020","ASL AVELLINO",1.17418714404083,3.25583105994451,"Campania","South"
"2020","ASL BA",-0.347781244768447,0.21436265645603,"Puglia","South"
"2020","ASL BAT",-0.515263799609388,0.109482906994153,"Puglia","South"
"2020","ASL BENEVENTO",0.55218279115423,2.48852013464778,"Campania","South"
"2020","ASL BR",-0.031306490395821,0.0293758671616557,"Puglia","South"
"2020","ASL CASERTA",1.10347812527194,4.47522197082601,"Campania","South"
"2020","ASL CITTA' DI TORINO",5.58164861485308,0.188596090647821,"Piemonte","North-West"
"2020","ASL FG",-0.56875208356157,0.535353437592101,"Puglia","South"
"2020","ASL LE",-0.180270052312129,0.045417687588268,"Puglia","South"
"2020","ASL N 1 DI SASSARI",-2.39592882277514,-2.6697059744261,"Sardegna","Islands"
"2020","ASL N 2 DELLA GALLURA",-0.937056617322539,-0.77616200001958,"Sardegna","Islands"
"2020","ASL N 3 DI NUORO",-1.52837008626673,-2.48372307373203,"Sardegna","Islands"
"2020","ASL N 5 DI ORISTANO",-0.863452136922928,-3.6166915286113,"Sardegna","Islands"
"2020","ASL N 6 DEL MEDIO CAMPIDANO",-0.753479347310492,-2.40643415712362,"Sardegna","Islands"
"2020","ASL N 7 DEL SULCIS",-1.30770706335205,-3.21505741185643,"Sardegna","Islands"
"2020","ASL N 8 DI CAGLIARI",-2.48843565430052,-4.80518839158789,"Sardegna","Islands"
"2020","ASL NAPOLI 1 CENTRO",1.89660635788383,3.69222733673325,"Campania","South"
"2020","ASL NAPOLI 2 NORD",2.92956951560812,3.71221651485415,"Campania","South"
"2020","ASL NAPOLI 3 SUD",2.27085365889529,3.21896336466664,"Campania","South"
"2020","ASL SALERNO",1.14478241451183,3.10831688137422,"Campania","South"
"2020","ASL TA",-0.440731444150805,0.114780200320694,"Puglia","South"
